--------------------
"Run name","me14div_DCLab2014_run3_VisTextClusterAvgRelevance.txt"
--------------------
"Average P@20 = ",.7756
"Average CR@20 = ",.4127
"Average F1@20 = ",.5305
--------------------
"Query Id ","Location name",P@5,P@10,P@20,P@30,P@40,P@50,CR@5,CR@10,CR@20,CR@30,CR@40,CR@50,F1@5,F1@10,F1@20,F1@30,F1@40,F1@50
71,"schonbrunn_palace",.8,.8,.9,.9333,.9,.84,.08,.2,.44,.56,.64,.72,.1455,.32,.591,.7,.7481,.7754
72,"seville_cathedral",1.0,1.0,1.0,.9333,.95,.94,.16,.2,.44,.56,.64,.68,.2759,.3333,.6111,.7,.7648,.7891
73,"spanish_steps",.6,.6,.75,.6,.525,.52,.1364,.2273,.5,.5909,.6364,.6818,.2222,.3297,.6,.5954,.5753,.59
74,"st__basil_cathedral",1.0,1.0,.9,.6667,.6,.62,.16,.24,.36,.36,.48,.48,.2759,.3871,.5143,.4675,.5333,.5411
75,"statue_of_liberty",1.0,.9,.9,.7333,.65,.62,.12,.2,.36,.52,.56,.64,.2143,.3273,.5143,.6085,.6017,.6298
76,"stonehenge",1.0,.8,.8,.7667,.675,.7,.2105,.3158,.5263,.5789,.6842,.7368,.3478,.4528,.6349,.6597,.6796,.7179
77,"summer_palace_beijing",.8,.8,.75,.8333,.775,.74,.16,.32,.48,.56,.64,.76,.2667,.4571,.5854,.6699,.7011,.7499
78,"sydney_opera_house",1.0,1.0,.95,.9333,.8,.82,.16,.32,.48,.64,.72,.76,.2759,.4848,.6378,.7593,.7579,.7889
79,"teotihuacan",1.0,1.0,.9,.8,.725,.76,.12,.2,.36,.44,.52,.72,.2143,.3333,.5143,.5677,.6056,.7395
80,"terracotta_army",.4,.6,.6,.7,.575,.46,.1,.25,.35,.55,.6,.6,.16,.3529,.4421,.616,.5872,.5208
81,"the_blue_mosque",.6,.8,.9,.8,.725,.74,.12,.2,.44,.52,.56,.64,.2,.32,.591,.6303,.6319,.6864
82,"the_henry_ford",1.0,.7,.8,.7,.725,.66,.16,.24,.4,.4,.48,.64,.2759,.3574,.5333,.5091,.5776,.6498
83,"taj_mahal",1.0,.9,.75,.8333,.7,.72,.12,.24,.36,.48,.52,.6,.2143,.3789,.4865,.6091,.5967,.6545
84,"tour_montparnasse",.8,.8,.75,.6333,.525,.52,.15,.25,.5,.55,.6,.75,.2526,.381,.6,.5887,.56,.6142
85,"tower_bridge_london",.4,.5,.65,.6667,.625,.54,.08,.2,.44,.6,.64,.68,.1333,.2857,.5248,.6316,.6324,.602
86,"trafalgar_square",.8,.8,.75,.6333,.575,.52,.1818,.3182,.3182,.3636,.5,.5,.2963,.4553,.4468,.462,.5349,.5098
87,"leaning_tower_of_pisa",.8,.8,.75,.7,.775,.74,.08,.16,.28,.36,.48,.56,.1455,.2667,.4078,.4755,.5928,.6375
