--------------------
"Run name","me14div_DCLab2014_run2_TextClusterAvgRelevance.txt"
--------------------
"Average P@20 = ",.7809
"Average CR@20 = ",.4065
"Average F1@20 = ",.527
--------------------
"Query Id ","Location name",P@5,P@10,P@20,P@30,P@40,P@50,CR@5,CR@10,CR@20,CR@30,CR@40,CR@50,F1@5,F1@10,F1@20,F1@30,F1@40,F1@50
71,"schonbrunn_palace",.8,.8,.8,.8333,.875,.86,.16,.24,.36,.4,.44,.6,.2667,.3692,.4966,.5405,.5856,.7068
72,"seville_cathedral",1.0,.9,.95,.9333,.95,.96,.16,.28,.4,.56,.6,.68,.2759,.4271,.563,.7,.7355,.7961
73,"spanish_steps",1.0,1.0,.8,.7667,.75,.76,.1818,.3182,.4545,.5455,.6364,.8182,.3077,.4828,.5797,.6374,.6885,.788
74,"st__basil_cathedral",1.0,1.0,.9,.9333,.95,.94,.16,.24,.4,.48,.48,.48,.2759,.3871,.5538,.634,.6378,.6355
75,"statue_of_liberty",.6,.7,.8,.8667,.9,.92,.08,.24,.32,.48,.56,.6,.1412,.3574,.4571,.6178,.6904,.7263
76,"stonehenge",1.0,.7,.75,.6,.525,.56,.2105,.2632,.4211,.5263,.5263,.5789,.3478,.3825,.5393,.5607,.5257,.5693
77,"summer_palace_beijing",.6,.7,.8,.8333,.8,.8,.12,.24,.48,.56,.68,.8,.2,.3574,.6,.6699,.7351,.8
78,"sydney_opera_house",.8,.8,.85,.8667,.875,.9,.16,.28,.48,.6,.6,.64,.2667,.4148,.6135,.7091,.7119,.7481
79,"teotihuacan",1.0,.9,.85,.8667,.875,.84,.08,.16,.36,.48,.56,.6,.1481,.2717,.5058,.6178,.6829,.7
80,"terracotta_army",.6,.3,.55,.6,.5,.5,.15,.15,.35,.45,.5,.55,.24,.2,.4278,.5143,.5,.5238
81,"the_blue_mosque",.8,.9,.75,.7667,.825,.84,.08,.24,.32,.52,.56,.6,.1455,.3789,.4486,.6197,.6671,.7
82,"the_henry_ford",1.0,.8,.85,.8333,.825,.84,.16,.24,.36,.44,.48,.56,.2759,.3692,.5058,.5759,.6069,.672
83,"taj_mahal",.8,.9,.85,.8333,.85,.88,.16,.28,.36,.48,.64,.68,.2667,.4271,.5058,.6091,.7302,.7672
84,"tour_montparnasse",.8,.7,.7,.7,.575,.46,.2,.3,.4,.45,.45,.45,.32,.42,.5091,.5478,.5049,.4549
85,"tower_bridge_london",.4,.3,.35,.4,.5,.6,.08,.12,.28,.32,.44,.44,.1333,.1714,.3111,.3556,.4681,.5077
86,"trafalgar_square",.8,.7,.75,.7667,.7,.72,.1364,.1818,.3636,.4545,.4545,.5,.233,.2887,.4898,.5707,.5512,.5902
87,"leaning_tower_of_pisa",.8,.6,.6,.6,.6,.56,.08,.12,.28,.36,.36,.44,.1455,.2,.3818,.45,.45,.4928
88,"hermitage_museum_saint_petersburg",1.0,1.0,1.0,1.0,1.0,.98,.2,.24,.36,.48,.56,.72,.3333,.3871,.5294,.6486,.7179,.8301
89,"jantar_mantar_jaipur",1.0,1.0,.95,.9667,.975,.88,.2,.36,.56,.68,.8,.84,.3333,.5294,.7046,.7984,.8789,.8595
90,"lake_titicaca_peru",.8,.8,.8,.8333,.8,.74,.1667,.2917,.4167,.5417,.5417,.5417,.2759,.4275,.5479,.6566,.646,.6255
91,"the_great_wall_of_china",.6,.6,.7,.7667,.825,.86,.08,.2,.32,.52,.6,.68,.1412,.3,.4392,.6197,.6947,.7595
92,"grande_arche_paris",.8,.8,.8,.8667,.825,.84,.12,.2,.28,.56,.64,.68,.2087,.32,.4148,.6804,.7208,.7516
93,"el_angel_mexico",.8,.6,.7,.6333,.65,.56,.1429,.1905,.4762,.5714,.6667,.7143,.2424,.2892,.5668,.6008,.6582,.6278
94,"bibliotheque_nationale_de_france",1.0,1.0,.9,.9,.9,.78,.2,.4,.52,.56,.68,.72,.3333,.5714,.6592,.6904,.7747,.7488
95,"kronborg_castle",.6,.8,.65,.6333,.625,.7,.0833,.25,.3333,.4167,.5417,.5833,.1463,.381,.4407,.5026,.5804,.6364
96,"ajanta_caves",.8,.8,.8,.8333,.875,.9,.1818,.3636,.5909,.7273,.7727,.7727,.2963,.5,.6797,.7767,.8207,.8315
97,"atomium",.4,.7,.75,.6667,.675,.74,.0952,.2857,.3333,.3333,.381,.381,.1538,.4058,.4615,.4444,.487,.503
98,"ellora_caves",1.0,.9,.9,.9333,.95,.96,.1818,.3636,.5,.5909,.5909,.6364,.3077,.518,.6429,.7237,.7286,.7654
99,"potala_palace",.8,.8,.75,.7333,.75,.8,.2222,.3889,.6111,.6111,.7222,.7222,.3478,.5234,.6735,.6667,.7358,.7591
100,"jokhang",.6,.8,.65,.7,.775,.78,.08,.2,.28,.44,.56,.6,.1412,.32,.3914,.5404,.6502,.6783
101,"rila_monastery",1.0,.9,.85,.8667,.825,.84,.16,.24,.32,.36,.4,.4,.2759,.3789,.465,.5087,.5388,.5419
102,"louvre_pyramid",1.0,1.0,1.0,1.0,.925,.92,.2778,.5,.5556,.6111,.6111,.6111,.4348,.6667,.7143,.7586,.736,.7344
103,"brooklyn_bridge",1.0,1.0,.85,.8333,.85,.88,.1905,.381,.381,.4762,.4762,.4762,.32,.5517,.5261,.6061,.6104,.618
104,"tower_of_london",.8,.7,.75,.7667,.825,.8,.1739,.2609,.3043,.4348,.4783,.5217,.2857,.3801,.433,.5549,.6055,.6316
105,"british_museum_london",1.0,1.0,1.0,.9667,.975,.98,.15,.25,.45,.45,.5,.55,.2609,.4,.6207,.6141,.661,.7046
106,"buckingham_palace",.6,.5,.7,.7333,.725,.64,.15,.15,.4,.4,.45,.55,.24,.2308,.5091,.5176,.5553,.5916
107,"charles_bridge_prague",.6,.5,.7,.7333,.7,.7,.125,.125,.3333,.375,.4583,.625,.2069,.2,.4516,.4962,.554,.6604
108,"champs_elysees_paris",.6,.4,.5,.5667,.525,.46,.2,.2667,.3333,.3333,.3333,.4,.3,.32,.4,.4198,.4078,.4279
109,"chrysler_building",1.0,1.0,1.0,1.0,1.0,1.0,.2857,.5714,.6429,.6429,.6429,.6429,.4444,.7273,.7826,.7826,.7826,.7826
110,"moma_new_york",.8,.8,.9,.9333,.925,.9,.1579,.2105,.3158,.3684,.4211,.4737,.2637,.3333,.4675,.5283,.5787,.6207
111,"grand_central_terminal",.8,.8,.65,.6333,.6,.68,.1429,.2381,.381,.4286,.4762,.5238,.2424,.367,.4804,.5112,.531,.5918
112,"houses_of_parliament",.8,.7,.7,.7667,.8,.8,.1304,.2174,.3913,.4348,.4348,.5217,.2243,.3318,.502,.5549,.5634,.6316
