name;anchor_1;anchor_22;anchor_24;anchor_25;anchor_27;anchor_38;anchor_39;anchor_9;all
Manual subtitles;0.0500;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.2000;0.0312
LIMSI transcripts;0.0000;0;0.0000;0;0;0;0;0;0.0167
LIUM transcripts;0.0500;0;0.0000;0;0.0000;0;0.1000;0;0.0200
NST/Sheffield;0;0;0.0000;0;0;0.0500;0.0500;0;0.0233
All transcript and subtitle;0.0000;0.0000;0.0000;0.1500;0.0000;0.0000;0.0000;0.0000;0.0222
Manual subtitles (Concept2);0.0500;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.2000;0.0500
LIMSI transcripts (Concept2);0.0000;0;0.0000;0;0;0;0;0.0000;0.0375
LIUM transcripts (Concept2);0.0500;0;0.0500;0;0.0000;0;0.0000;0;0.0184
NST/Sheffield (Concept2);0;0.0000;0.1000;0;0.0000;0.1000;0.0500;0;0.0175
All transcript and subtitle (Concept2);0.0000;0.0000;0.0000;0.2000;0.0000;0.0000;0.0000;0.0000;0.0196
